Filename,Card Name,AI Prompt
core-cinder-pup.png,Glutpfote,"Fantasy trading card game illustration, digital-painterly style. A small wolf pup with glowing orange fur and paws that throw off bright sparks. Color palette: warm red and orange tones. Pure art motif, no text, no borders, no UI elements. Aspect ratio 4:3."
core-cinderborn-raider.png,Glutgeborener Plünderer,"Fantasy trading card game illustration, digital-painterly style. A raider born from embers and ash, rushing across the battlefield with limbs made of flickering fire. Color palette: warm red and orange tones, ash. Pure art motif, no text, no borders, no UI elements. Aspect ratio 4:3."
core-cinderbound-mark.png,Aschgebundenes Mal,"Fantasy trading card game illustration, digital-painterly style. A glowing brand mark made of ash clinging to a creature, driving it into a hasty, aggressive attack. Color palette: warm red and orange tones, smoldering ash. Pure art motif, no text, no borders, no UI elements. Aspect ratio 4:3."
core-cinderclad-raider.png,Aschgewandeter Räuber,"Fantasy trading card game illustration, digital-painterly style. A raider wrapped in ash-grey fur cloaks, plowing through enemy lines with brutal force. Color palette: warm red and orange tones with dominant grey ash. Pure art motif, no text, no borders, no UI elements. Aspect ratio 4:3."
core-cinderdrift-wing.png,Aschentrift-Schwinge,"Fantasy trading card game illustration, digital-painterly style. A flickering winged creature made of drifting ash, gliding silently through smoke-filled skies. Color palette: warm red and orange tones, dark smoke, grey ash. Pure art motif, no text, no borders, no UI elements. Aspect ratio 4:3."
core-cinderfall-idol.png,Aschfall-Idol,"Fantasy trading card game illustration, digital-painterly style. An ash-covered, weathered stone idol standing lonely amidst falling flakes of grey ash. Color palette: neutral stone material tones, grey ash flakes. Pure art motif, no text, no borders, no UI elements. Aspect ratio 4:3."
core-cinderforge-charm.png,Glutschmiede-Amulett,"Fantasy trading card game illustration, digital-painterly style. A glowing amulet made of forged embers, surrounding itself with a sparse, delicate ring of sparks. Color palette: warm red and intense orange tones. Pure art motif, no text, no borders, no UI elements. Aspect ratio 4:3."
core-cinderlash-brute.png,Glutpeitschen-Schläger,"Fantasy trading card game illustration, digital-painterly style. A muscular fire brute striking back with weapons formed of glowing fire whips when struck. Color palette: warm red and orange tones, embers. Pure art motif, no text, no borders, no UI elements. Aspect ratio 4:3."
core-cinderroot-brand.png,Aschwurzel-Brandmal,"Fantasy trading card game illustration, digital-painterly style. Charred, glowing root vines permanently wrapping around a creature's legs, driving it relentlessly forward. Color palette: warm red and orange tones, charred roots. Pure art motif, no text, no borders, no UI elements. Aspect ratio 4:3."
core-cinderwake-marauder.png,Aschwoge-Plünderer,"Fantasy trading card game illustration, digital-painterly style. A marauder formed from a roaring wave of fire, leaving a final explosive shower of sparks as it dissipates. Color palette: warm red and orange tones. Pure art motif, no text, no borders, no UI elements. Aspect ratio 4:3."
core-cinderwatch-raider.png,Aschwacht-Plünderer,"Fantasy trading card game illustration, digital-painterly style. A watchful raider with a soot-blackened spear keeping sharp lookout over glowing ruins. Color palette: warm red and orange tones, soot. Pure art motif, no text, no borders, no UI elements. Aspect ratio 4:3."
core-cinderwing-fledgling.png,Glutschwingen-Junges,"Fantasy trading card game illustration, digital-painterly style. A young fire creature with clumsy, spark-spraying wings practicing its first flights. Color palette: warm red and orange tones, embers. Pure art motif, no text, no borders, no UI elements. Aspect ratio 4:3."
core-cinderwrack-engine.png,Sengende Kriegsmaschine,"Fantasy trading card game illustration, digital-painterly style. A monstrous siege engine equipped with fire tubes, spewing searing fireballs on command. Color palette: neutral metallic tones, blazing orange fire. Pure art motif, no text, no borders, no UI elements. Aspect ratio 4:3."
core-cinderwrath-mantle.png,Aschzorn-Mantel,"Fantasy trading card game illustration, digital-painterly style. A wrath-ignited cloak of scorched fabric enveloping a creature in flickering rage. Color palette: warm red and orange tones. Pure art motif, no text, no borders, no UI elements. Aspect ratio 4:3."
core-clockwork-brooch.png,Uhrwerkbrosche,"Fantasy trading card game illustration, digital-painterly style. A delicate, ticking clockwork brooch made of polished brass with visible gears. Color palette: neutral material tones, polished brass, gold. Pure art motif, no text, no borders, no UI elements. Aspect ratio 4:3."
core-clockwork-mainspring.png,Uhrwerk-Triebfeder,"Fantasy trading card game illustration, digital-painterly style. A tightly wound, shiny metallic mainspring inside an opened clockwork mechanism. Color palette: neutral material tones, polished steel, brass. Pure art motif, no text, no borders, no UI elements. Aspect ratio 4:3."
core-corrosive-clamp.png,Zersetzende Klammer,"Fantasy trading card game illustration, digital-painterly style. A metal clamp corroded by rust and acid, with dripping greenish stains. Color palette: neutral material tones, rust, toxic green. Pure art motif, no text, no borders, no UI elements. Aspect ratio 4:3."
core-current-diplomat.png,Strömungsdiplomatin,"Fantasy trading card game illustration, digital-painterly style. An elegant diplomat formed of flowing water, gesturing expressively in the middle of rushing tides. Color palette: cool blue and turquoise tones. Pure art motif, no text, no borders, no UI elements. Aspect ratio 4:3."
core-current-seer.png,Strömungsseher,"Fantasy trading card game illustration, digital-painterly style. A translucent water spirit with glowing eyes gazing deeply into a calm water current. Color palette: cool blue and turquoise tones. Pure art motif, no text, no borders, no UI elements. Aspect ratio 4:3."
core-dawn-medic.png,Morgendliche Heilerin,"Fantasy trading card game illustration, digital-painterly style. A gentle healer in a simple white robe kneeling in the morning light next to a wounded person. Color palette: warm gold and white tones. Pure art motif, no text, no borders, no UI elements. Aspect ratio 4:3."
core-dawnblade-adept.png,Morgenklingen-Adeptin,"Fantasy trading card game illustration, digital-painterly style. A female adept with a blade gleaming in the morning light, attacking with practiced speed. Color palette: warm gold and white tones. Pure art motif, no text, no borders, no UI elements. Aspect ratio 4:3."
core-dawnborn-duelist.png,Morgengeborener Duellant,"Fantasy trading card game illustration, digital-painterly style. A duelist born at dawn entering the first battle of the day with a gold-kissed blade. Color palette: warm gold and white tones. Pure art motif, no text, no borders, no UI elements. Aspect ratio 4:3."
